苧,苎
專,专
耑,专
眥,眦
傯,偬
組,组
鈀,钯
鈑,钣
綁,绑
報,报
備,备
賁,贲
筆,笔
詖,诐
鈽,钸
鈈,钚
採,采
殘,残
傖,伧
艸,草
廁,厕
厠,厕
筞,策
訶,诃
賀,贺
貼,贴
統,统
筩,筒
覘,觇
鈣,钙
尷,尴
尲,尴
絶,绝
鈞,钧
湻,淳
詞,词
飯,饭
鈁,钫
莕,荇
胷,胸
須,须
鬚,须
開,开
凱,凯
剴,剀
黽,黾
閔,闵
場,场
塲,场
悵,怅
鈔,钞
硨,砗
捵,抻
棖,枨
堘,塍
圌,篅
窓,窗
窻,窗
牎,窗
創,创
搥,捶
箠,棰
貸,贷
單,单
隄,堤
覿,觌
詆,诋
啑,喋
棟,栋
鈄,钭
鈍,钝
惡,恶
貳,贰
發,发
栰,筏
費,费
糞,粪
馮,冯
粰,稃
復,复
皐,皋
臯,皋
髂,胳
給,给
鈎,钩
鉤,钩
軲,轱
詁,诂
僱,雇
貫,贯
貴,贵
槨,椁
頇,顸
絎,绗
閎,闳
壺,壶
畫,画
蜖,蛔
蛕,蛔
痐,蛔
僡,惠
叀,惠
鈥,钬
極,极
夾,袷
裌,袷
閒,间
漸,渐
絳,绛
絞,绞
傑,杰
結,结
藎,荩
宑,阱
痙,痉
廄,厩
廏,厩
詎,讵
閌,闶
鈧,钪
軻,轲
貺,贶
淶,涞
嵐,岚
瑯,琅
勞,劳
犂,犁
韌,韧
靭,韧
絨,绒
毧,绒
鈦,钛
瑠,琉
璢,琉
虜,虏
掄,抡
淪,沦
犖,荦
買,买
蕒,荬
貿,贸
捫,扪
悶,闷
鈉,钠
堖,垴
鈕,钮
儺,傩
評,评
鈐,钤
淺,浅
蒨,茜
強,强
羥,羟
喬,乔
欽,钦
琹,琴
詘,诎
閏,闰
傘,伞
繖,伞
喪,丧
掃,扫
埽,扫
篩,筛
腎,肾
視,视
眡,视
眎,视
疎,疏
順,顺
絲,丝
訴,诉
愬,诉
飱,飧
嗁,啼
飩,饨
為,为
爲,为
圍,围
幃,帏
餧,喂
餵,喂
濄,涡
渦,涡
窩,窝
無,无
晳,晰
硤,硖
閑,闲
箲,筅
現,现
項,项
壻,婿
絢,绚
尋,寻
硯,砚
堯,尧
軺,轺
詒,诒
貽,贻
軼,轶
陻,堙
滛,淫
喲,哟
鑰,钥
雲,云
馭,驭
飫,饫
淵,渊
黿,鼋
喒,咱
偺,咱
鑿,凿
棗,枣
詐,诈
棧,栈
詔,诏
櫂,棹
喆,哲
蟄,蛰
診,诊
軫,轸
証,证
縶,絷
蹠,跖
衆,众
軸,轴
貯,贮
椶,棕
詛,诅
愛,爱
粺,稗
頒,颁
嗶,哔
鉍,铋
颮,飑
鉢,钵
鈸,钹
補,补
跴,踩
惻,恻
測,测
挿,插
詫,诧
號,号
該,该
賅,赅
槩,概
惷,蠢
綉,绣
繍,绣
詡,诩
塏,垲
馳,驰
飭,饬
詶,酬
酧,酬
醻,酬
傳,传
當,当
碭,砀
電,电
鈿,钿
矴,碇
椗,碇
頓,顿
躱,躲
憜,惰
跥,跺
煩,烦
渢,沨
楓,枫
觵,觥
詬,诟
鈷,钴
詿,诖
詭,诡
頏,颃
噑,嗥
獆,嗥
軤,轷
話,话
諙,话
詼,诙
揮,挥
暉,晖
匯,汇
滙,汇
會,会
賄,贿
渾,浑
跡,迹
蹟,迹
莢,荚
賈,贾
鉀,钾
揀,拣
筧,笕
鹹,碱
醬,酱
勦,剿
較,较
詰,诘
僅,仅
廑,仅
經,经
莖,茎
粇,粳
秔,粳
稉,粳
脛,胫
踁,胫
逈,迥
鳩,鸠
揫,揪
櫸,榉
鋸,钜
絹,绢
鈳,钶
窛,筘
塊,块
誆,诓
髨,髡
髠,髡
睞,睐
靁,雷
誄,诔
儽,傫
飪,饪
餁,饪
嗩,唢
鉈,铊
墖,塔
裏,里
裡,里
涖,莅
蒞,莅
亷,廉
煉,炼
鍊,炼
賃,赁
鈴,铃
僂,偻
賂,赂
輅,辂
亂,乱
媽,妈
嗎,吗
鉚,铆
鉬,钼
廼,乃
迺,乃
枏,楠
柟,楠
鈮,铌
裊,袅
嫋,袅
農,农
辳,农
煖,暖
餪,暖
煗,暖
鉋,刨
鑤,刨
鈹,铍
勡,剽
缾,瓶
鉕,钷
頎,颀
璂,琪
僉,佥
鉛,铅
鈆,铅
鉗,钳
嗆,呛
檣,樯
艢,樯
愜,惬
傾,倾
詮,诠
輇,辁
帬,裙
羣,群
僿,塞
傷,伤
蕱,筲
詵,诜
聖,圣
詩,诗
獅,狮
勢,势
試,试
軾,轼
竪,竖
豎,竖
崧,嵩
頌,颂
肅,肃
綏,绥
歲,岁
嵗,岁
歳,岁
鉭,钽
湯,汤
綈,绨
馱,驮
頑,顽
煒,炜
蝟,猬
萵,莴
蝸,蜗
嗚,呜
熈,熙
薟,莶
蜆,蚬
